dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,implementation,cell_class,exclusion_reason
10,moonshine$dispatch_10_linear_s8,,,6.219790850,ms,6219790.850,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,248792,roccmoon_engine[curated],measured,
11,moonshine$dispatch_11_linear_s8,,,6.227264680,ms,6227264.680,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,249091,roccmoon_engine[curated],measured,
12,moonshine$dispatch_12_rope_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,rope_s8,T=165;H=8;D=36;R=32,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
13,moonshine$dispatch_13_rope_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,rope_s8,T=165;H=8;D=36;R=32,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
14,moonshine$dispatch_14_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=165;d2=8;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
15,moonshine$dispatch_15_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=165;d2=8;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
16,moonshine$dispatch_16_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=165;d2=8;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
17,moonshine$dispatch_17_attention_s8,,,25.538623370,ms,25538623.370,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,attention_s8,B=8;M=165;Dk=36;S=165;Dv=36,1021545,roccmoon_lane[curated],measured,
18,moonshine$dispatch_18_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=8;d2=165;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
19,moonshine$dispatch_19_linear_s8,,,6.279482170,ms,6279482.170,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,251179,roccmoon_engine[curated],measured,
20,moonshine$dispatch_20_add_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,add_s8,n=47520,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
21,moonshine$dispatch_21_layernorm_pc_s8,,,4.464086380,ms,4464086.380,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,layernorm_pc_s8,M=165;K=288,178563,roccmoon_lane[curated],measured,
22,moonshine$dispatch_22_linear_s8,,,23.136370530,ms,23136370.530,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=1152,925455,roccmoon_engine[curated],measured,
23,moonshine$dispatch_23_gelu_s8,,,6.769725690,ms,6769725.690,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,gelu_s8,n=190080,270789,roccmoon_lut[curated],measured,
24,moonshine$dispatch_24_linear_s8,,,25.654356000,ms,25654356.000,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=1152;N=288,1026174,roccmoon_engine[curated],measured,
25,moonshine$dispatch_25_add_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,add_s8,n=47520,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
26,moonshine$dispatch_26_layernorm_pc_s8,,,4.457729900,ms,4457729.900,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,layernorm_pc_s8,M=165;K=288,178309,roccmoon_lane[curated],measured,
27,moonshine$dispatch_27_linear_s8,,,6.248916440,ms,6248916.440,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,249957,roccmoon_engine[curated],measured,
28,moonshine$dispatch_28_linear_s8,,,6.210554090,ms,6210554.090,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,248422,roccmoon_engine[curated],measured,
29,moonshine$dispatch_29_linear_s8,,,6.233447350,ms,6233447.350,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,249338,roccmoon_engine[curated],measured,
30,moonshine$dispatch_30_rope_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,rope_s8,T=165;H=8;D=36;R=32,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
31,moonshine$dispatch_31_rope_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,rope_s8,T=165;H=8;D=36;R=32,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
32,moonshine$dispatch_32_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=165;d2=8;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
33,moonshine$dispatch_33_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=165;d2=8;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
34,moonshine$dispatch_34_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=165;d2=8;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
35,moonshine$dispatch_35_attention_s8,,,24.460852390,ms,24460852.390,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,attention_s8,B=8;M=165;Dk=36;S=165;Dv=36,978434,roccmoon_lane[curated],measured,
36,moonshine$dispatch_36_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=8;d2=165;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
37,moonshine$dispatch_37_linear_s8,,,6.282412110,ms,6282412.110,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,251296,roccmoon_engine[curated],measured,
38,moonshine$dispatch_38_add_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,add_s8,n=47520,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
39,moonshine$dispatch_39_layernorm_pc_s8,,,4.484347660,ms,4484347.660,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,layernorm_pc_s8,M=165;K=288,179374,roccmoon_lane[curated],measured,
40,moonshine$dispatch_40_linear_s8,,,23.132050110,ms,23132050.110,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=1152,925282,roccmoon_engine[curated],measured,
41,moonshine$dispatch_41_gelu_s8,,,6.729525920,ms,6729525.920,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,gelu_s8,n=190080,269181,roccmoon_lut[curated],measured,
42,moonshine$dispatch_42_linear_s8,,,25.651202590,ms,25651202.590,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=1152;N=288,1026048,roccmoon_engine[curated],measured,
43,moonshine$dispatch_43_add_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,add_s8,n=47520,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
44,moonshine$dispatch_44_layernorm_pc_s8,,,4.473794910,ms,4473794.910,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,layernorm_pc_s8,M=165;K=288,178952,roccmoon_lane[curated],measured,
45,moonshine$dispatch_45_linear_s8,,,6.247948070,ms,6247948.070,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,249918,roccmoon_engine[curated],measured,
46,moonshine$dispatch_46_linear_s8,,,6.224086440,ms,6224086.440,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,248963,roccmoon_engine[curated],measured,
47,moonshine$dispatch_47_linear_s8,,,6.225476920,ms,6225476.920,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,249019,roccmoon_engine[curated],measured,
48,moonshine$dispatch_48_rope_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,rope_s8,T=165;H=8;D=36;R=32,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
49,moonshine$dispatch_49_rope_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,rope_s8,T=165;H=8;D=36;R=32,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
50,moonshine$dispatch_50_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=165;d2=8;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
51,moonshine$dispatch_51_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=165;d2=8;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
52,moonshine$dispatch_52_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=165;d2=8;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
53,moonshine$dispatch_53_attention_s8,,,24.411366200,ms,24411366.200,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,attention_s8,B=8;M=165;Dk=36;S=165;Dv=36,976455,roccmoon_lane[curated],measured,
54,moonshine$dispatch_54_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=8;d2=165;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
55,moonshine$dispatch_55_linear_s8,,,6.299048210,ms,6299048.210,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,251962,roccmoon_engine[curated],measured,
56,moonshine$dispatch_56_add_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,add_s8,n=47520,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
57,moonshine$dispatch_57_layernorm_pc_s8,,,4.477569070,ms,4477569.070,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,layernorm_pc_s8,M=165;K=288,179103,roccmoon_lane[curated],measured,
58,moonshine$dispatch_58_linear_s8,,,23.149729070,ms,23149729.070,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=1152,925989,roccmoon_engine[curated],measured,
59,moonshine$dispatch_59_gelu_s8,,,6.715124520,ms,6715124.520,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,gelu_s8,n=190080,268605,roccmoon_lut[curated],measured,
60,moonshine$dispatch_60_linear_s8,,,25.654207020,ms,25654207.020,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=1152;N=288,1026168,roccmoon_engine[curated],measured,
61,moonshine$dispatch_61_add_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,add_s8,n=47520,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
62,moonshine$dispatch_62_layernorm_pc_s8,,,4.446680550,ms,4446680.550,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,layernorm_pc_s8,M=165;K=288,177867,roccmoon_lane[curated],measured,
63,moonshine$dispatch_63_linear_s8,,,6.275583860,ms,6275583.860,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,251023,roccmoon_engine[curated],measured,
64,moonshine$dispatch_64_linear_s8,,,6.223242220,ms,6223242.220,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,248930,roccmoon_engine[curated],measured,
65,moonshine$dispatch_65_linear_s8,,,6.237643620,ms,6237643.620,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,249506,roccmoon_engine[curated],measured,
66,moonshine$dispatch_66_rope_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,rope_s8,T=165;H=8;D=36;R=32,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
67,moonshine$dispatch_67_rope_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,rope_s8,T=165;H=8;D=36;R=32,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
68,moonshine$dispatch_68_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=165;d2=8;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
69,moonshine$dispatch_69_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=165;d2=8;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
70,moonshine$dispatch_70_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=165;d2=8;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
71,moonshine$dispatch_71_attention_s8,,,24.556398230,ms,24556398.230,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,attention_s8,B=8;M=165;Dk=36;S=165;Dv=36,982256,roccmoon_lane[curated],measured,
72,moonshine$dispatch_72_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=8;d2=165;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
73,moonshine$dispatch_73_linear_s8,,,6.304386660,ms,6304386.660,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,252175,roccmoon_engine[curated],measured,
74,moonshine$dispatch_74_add_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,add_s8,n=47520,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
75,moonshine$dispatch_75_layernorm_pc_s8,,,4.481243910,ms,4481243.910,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,layernorm_pc_s8,M=165;K=288,179250,roccmoon_lane[curated],measured,
76,moonshine$dispatch_76_linear_s8,,,23.188761830,ms,23188761.830,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=1152,927550,roccmoon_engine[curated],measured,
77,moonshine$dispatch_77_gelu_s8,,,6.737769480,ms,6737769.480,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,gelu_s8,n=190080,269511,roccmoon_lut[curated],measured,
78,moonshine$dispatch_78_linear_s8,,,25.840283040,ms,25840283.040,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=1152;N=288,1033611,roccmoon_engine[curated],measured,
79,moonshine$dispatch_79_add_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,add_s8,n=47520,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
80,moonshine$dispatch_80_layernorm_pc_s8,,,4.441491080,ms,4441491.080,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,layernorm_pc_s8,M=165;K=288,177660,roccmoon_lane[curated],measured,
81,moonshine$dispatch_81_linear_s8,,,6.281915510,ms,6281915.510,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,251277,roccmoon_engine[curated],measured,
82,moonshine$dispatch_82_linear_s8,,,6.226892230,ms,6226892.230,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,249076,roccmoon_engine[curated],measured,
83,moonshine$dispatch_83_linear_s8,,,6.242013700,ms,6242013.700,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,249681,roccmoon_engine[curated],measured,
84,moonshine$dispatch_84_rope_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,rope_s8,T=165;H=8;D=36;R=32,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
85,moonshine$dispatch_85_rope_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,rope_s8,T=165;H=8;D=36;R=32,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
86,moonshine$dispatch_86_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=165;d2=8;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
87,moonshine$dispatch_87_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=165;d2=8;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
88,moonshine$dispatch_88_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=165;d2=8;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
89,moonshine$dispatch_89_attention_s8,,,24.420602960,ms,24420602.960,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,attention_s8,B=8;M=165;Dk=36;S=165;Dv=36,976824,roccmoon_lane[curated],measured,
90,moonshine$dispatch_90_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=8;d2=165;d3=36;p0=0;p1=2;p2=1;p3=3,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
91,moonshine$dispatch_91_linear_s8,,,6.324647940,ms,6324647.940,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,252986,roccmoon_engine[curated],measured,
92,moonshine$dispatch_92_add_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,add_s8,n=47520,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
93,moonshine$dispatch_93_layernorm_pc_s8,,,4.466693530,ms,4466693.530,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,layernorm_pc_s8,M=165;K=288,178668,roccmoon_lane[curated],measured,
94,moonshine$dispatch_94_linear_s8,,,23.199389070,ms,23199389.070,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=1152,927976,roccmoon_engine[curated],measured,
95,moonshine$dispatch_95_gelu_s8,,,6.744101130,ms,6744101.130,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,gelu_s8,n=190080,269764,roccmoon_lut[curated],measured,
96,moonshine$dispatch_96_linear_s8,,,25.809692480,ms,25809692.480,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=1152;N=288,1032388,roccmoon_engine[curated],measured,
97,moonshine$dispatch_97_add_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,add_s8,n=47520,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
98,moonshine$dispatch_98_layernorm_pc_s8,,,4.484322830,ms,4484322.830,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,layernorm_pc_s8,M=165;K=288,179373,roccmoon_lane[curated],measured,
